0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,label
1.0,a,-1d,0.8288659154702146,216.0,4.84609139294414,K,50.0,0,161.71422629666364,0.0,85.96437596177859,n,2.0,414.0,0.0,S,2.1914013542907904,a8,,15.921017377610793,1
8.0,a,-1d,8.981168056318118,46.0,7.324910668504829,A,270.0,0,328.55985053101944,0.0,294.5528810568768,n,3.0,63.0,0.0,M,3.8117778420519794,a8,,47.56713961762159,0
1.0,a,-1d,1.4580613638785787,3304.0,7.548886609729614,D,200.0,1,298.7755543572515,0.0,317.61592003501613,n,1.0,218.0,0.0,M,4.284457225237858,a4,,10.52222809196428,0
1.0,b,-1d,2.753682434314177,212.0,8.20074597363161,E,170.0,0,285.34290737764024,0.0,181.7733367242617,y,2.0,,0.0,D,4.6807509392973055,a7,,21.18505009238217,0
1.0,unknown,-1d,4.496871942663259,1050.0,5.071093723460196,B,260.0,1,328.46468849820604,0.0,454.05822195620965,n,3.0,293.0,0.0,S,2.740113616764002,a5,,47.49116435214882,0
1.0,unknown,-1d,7.107392885907375,2015.0,5.560849658708344,A,210.0,0,305.206857013832,0.0,890.6767526548786,n,3.0,388.0,0.0,S,3.181311402564534,a5,,0.34518655921882946,0
4.0,a,349d,-0.10026218724923774,2032.0,6.289132541266005,D,50.0,1,161.7644329110467,2.0,548.5192438900236,n,2.0,87.0,0.0,S,3.4653256442924363,a5,A,56.2283449870181,0
5.0,a,-1d,6.820732406938417,14462.0,6.184420978292395,A,210.0,1,305.7505435689024,0.0,15.045265576112214,n,3.0,10.0,0.0,M,3.3241771880311717,a11,,29.044255069857464,0
1.0,unknown,-1d,7.078525610948406,27.0,6.581614652707015,D,60.0,0,179.28434899391854,0.0,93.42918174377381,n,1.0,80.0,0.0,M,3.394954395913458,a6,,-6.44067118429458,0
7.0,a,-1d,2.2284673251886202,1085.0,5.990441419848867,F,110.0,0,241.09710139385928,0.0,40.785663322152274,n,2.0,,0.0,D,3.181311402564534,a3,,77.80970908953768,1
1.0,unknown,-1d,6.200984826823811,360.0,6.573209302638915,J,300.0,0,340.91204841810054,0.0,460.6262739649316,n,1.0,6.0,0.0,M,4.217677943394793,a6,,12.248150958211754,0
1.0,a,182d,8.580443283012366,4243.0,8.718051046769602,E,300.0,0,341.83448691580696,2.0,630.8473129054721,n,2.0,315.0,0.0,D,5.006041035651839,a4,B,54.86922325062735,1
1.0,unknown,-1d,10.2126543179953,428.0,5.662624083572076,G,210.0,1,305.54295376519,0.0,15.284784567288128,n,2.0,272.0,0.0,M,2.96332622471397,a5,,28.853414894881446,0
1.0,a,-1d,11.381526163192248,1384.0,8.117850887425526,A,270.0,1,329.87335938167456,0.0,313.01707031336883,n,3.0,,0.0,M,4.811357228081344,a3,,20.240492533709922,1
4.0,a,-1d,2.2890396705813485,626.0,7.265130141891982,B,250.0,1,322.71993745416,0.0,437.435407717465,n,2.0,90.0,0.0,M,4.217677943394793,a8,,59.63240743139762,0
2.0,a,150d,5.270000075101307,437.0,5.9301826119312695,A,200.0,1,300.279672820196,5.0,34.19465767089007,n,3.0,,0.0,S,3.1091708674813785,a4,A,-9.455653481694334,0
6.0,a,-1d,8.078140848888083,518.0,7.024405245109268,B,250.0,0,322.8827605867005,0.0,525.3634936939111,n,2.0,68.0,0.0,M,4.015911886938387,a8,,7.6066210234643385,0
1.0,a,357d,-2.9455784446467814,900.0,6.512577873357481,A,70.0,1,195.99735064898786,2.0,311.0834944621053,n,3.0,155.0,0.0,M,3.394954395913458,a5,A,34.93693139707255,0
1.0,a,-1d,7.733844008601337,28.0,5.452374522966654,B,180.0,1,290.0115190597319,0.0,206.54075264465877,n,2.0,203.0,1.0,S,2.8151643499924854,a7,,38.70575706907202,0
2.0,a,105d,2.4242815493080867,938.0,5.562816626278418,A,260.0,0,327.03093084174526,1.0,134.22966479259793,n,3.0,,0.0,S,2.8895541009234194,a5,C,37.25129398033543,0
